match_id,player1,player2,elapsed_time,set_no,game_no,point_no,p1_sets,p2_sets,p1_games,p2_games,p1_score,p2_score,server,serve_no,point_victor,p1_points_won,p2_points_won,game_victor,set_victor,p1_ace,p2_ace,p1_winner,p2_winner,winner_shot_type,p1_double_fault,p2_double_fault,p1_unf_err,p2_unf_err,p1_net_pt,p2_net_pt,p1_net_pt_won,p2_net_pt_won,p1_break_pt,p2_break_pt,p1_break_pt_won,p2_break_pt_won,p1_break_pt_missed,p2_break_pt_missed,p1_distance_run,p2_distance_run,rally_count,speed_mph,serve_width,serve_depth,return_depth,comprehensive_momentum_1,comprehensive_momentum_2
2023-wimbledon-1316,Stan Wawrinka,Novak Djokovic,00:00:00,1,1,1,0,0,0,0,0,0,2,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.118,5.543,1,124.0,C,CTL,D,0.0,0.0
2023-wimbledon-1316,Stan Wawrinka,Novak Djokovic,00:00:35,1,1,2,0,0,0,0,0,15,2,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.934,4.335,1,119.0,C,NCTL,ND,-1.0069185792349726,1.2369185792349726
2023-wimbledon-1316,Stan Wawrinka,Novak Djokovic,00:00:56,1,1,3,0,0,0,0,0,30,2,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,13.848,11.198,2,110.0,W,CTL,ND,-2.0130765027322406,2.5630765027322404
2023-wimbledon-1316,Stan Wawrinka,Novak Djokovic,00:01:24,1,1,4,0,0,0,0,15,30,2,1,2,1,3,0,0,0,0,0,1,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.017,8.471,3,120.0,BC,NCTL,ND,-0.9557038251366121,1.4557038251366117
2023-wimbledon-1316,Stan Wawrinka,Novak Djokovic,00:01:48,1,1,5,0,0,0,0,15,40,2,1,2,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.868,3.419,1,112.0,W,CTL,ND,-1.9876513661202186,2.537651366120218
2023-wimbledon-1316,Stan Wawrinka,Novak Djokovic,00:02:35,1,2,6,0,0,0,1,0,0,1,1,2,1,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,59.314,64.077,16,124.0,C,NCTL,D,-1.9847147540983607,2.564714754098361
2023-wimbledon-1316,Stan Wawrinka,Novak Djokovic,00:03:18,1,2,7,0,0,0,1,0,15,1,2,2,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.501,15.536,4,93.0,BW,NCTL,ND,-3.257385245901639,3.667385245901639
2023-wimbledon-1316,Stan Wawrinka,Novak Djokovic,00:03:58,1,2,8,0,0,0,1,0,30,1,2,2,1,7,0,0,0,0,0,1,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.307,29.811,8,96.0,B,NCTL,D,-5.589155737704918,6.649155737704918
2023-wimbledon-1316,Stan Wawrinka,Novak Djokovic,00:04:42,1,2,9,0,0,0,1,0,40,1,2,1,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,7.697,8.033,3,93.0,BW,NCTL,ND,-6.0331338797814205,7.37313387978142
2023-wimbledon-1316,Stan Wawrinka,Novak Djokovic,00:05:19,1,2,10,0,0,0,1,15,40,1,1,1,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4.474,6.935,1,116.0,W,CTL,ND,-3.7733650273224035,4.573365027322404
2023-wimbledon-1316,Stan Wawrinka,Novak Djokovic,00:05:43,1,2,11,0,0,0,1,30,40,1,2,1,4,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,26.331,26.915,7,93.0,BW,NCTL,ND,-0.22830218579235,0.4083021857923499
2023-wimbledon-1316,Stan Wawrinka,Novak Djokovic,00:06:31,1,2,12,0,0,0,1,40,40,1,2,1,5,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12.018,14.897,5,99.0,BC,NCTL,ND,2.5397688524590163,-1.9297688524590164
2023-wimbledon-1316,Stan Wawrinka,Novak Djokovic,00:07:08,1,2,13,0,0,0,1,AD,40,1,1,1,6,7,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666,0.63,1,129.0,W,CTL,,5.7692327868852455,-4.309232786885246
2023-wimbledon-1316,Stan Wawrinka,Novak Djokovic,00:07:36,1,3,14,0,0,1,1,0,0,2,2,2,6,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,21.295,20.375,5,89.0,BC,NCTL,ND,6.244154098360656,-3.7041540983606556
2023-wimbledon-1316,Stan Wawrinka,Novak Djokovic,00:08:18,1,3,15,0,0,1,1,0,15,2,2,2,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.083,4.933,1,106.0,C,CTL,D,4.154067213114754,-1.354067213114754
2023-wimbledon-1316,Stan Wawrinka,Novak Djokovic,00:09:00,1,3,16,0,0,1,1,0,30,2,2,2,6,10,0,0,0,0,0,1,F,0,0,0,0,0,1,0,1,0,0,0,0,0,0,17.805,15.149,5,99.0,BW,NCTL,ND,0.8643743169398909,1.1156256830601097
2023-wimbledon-1316,Stan Wawrinka,Novak Djokovic,00:09:41,1,3,17,0,0,1,1,0,40,2,2,2,6,11,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,18.64,14.975,5,101.0,C,NCTL,D,-1.3592021857923497,3.5692021857923497
2023-wimbledon-1316,Stan Wawrinka,Novak Djokovic,00:11:35,1,4,18,0,0,1,2,0,0,1,2,2,6,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.016,33.222,8,95.0,C,NCTL,ND,-3.7017546448087426,5.761754644808742
2023-wimbledon-1316,Stan Wawrinka,Novak Djokovic,00:12:16,1,4,19,0,0,1,2,0,15,1,1,1,7,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.746,14.996,1,125.0,C,NCTL,D,-4.073095628415301,6.4130956284153005
2023-wimbledon-1316,Stan Wawrinka,Novak Djokovic,00:12:38,1,4,20,0,0,1,2,15,15,1,2,1,8,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11.889,11.485,3,103.0,B,NCTL,D,-1.8246486338797812,4.424648633879783
2023-wimbledon-1316,Stan Wawrinka,Novak Djokovic,00:13:15,1,4,21,0,0,1,2,30,15,1,1,2,8,13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12.752,17.696,4,118.0,C,NCTL,ND,0.5637076502732243,1.216292349726776
2023-wimbledon-1316,Stan Wawrinka,Novak Djokovic,00:13:42,1,4,22,0,0,1,2,30,30,1,1,1,9,13,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.655,0.821,1,127.0,C,NCTL,,-0.2110010928961747,0.3610010928961748
2023-wimbledon-1316,Stan Wawrinka,Novak Djokovic,00:14:14,1,4,23,0,0,1,2,40,30,1,2,1,10,13,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,18.594,18.094,5,98.0,B,NCTL,ND,2.504998907103825,-1.9549989071038247
2023-wimbledon-1316,Stan Wawrinka,Novak Djokovic,00:15:02,1,5,24,0,0,2,2,0,0,2,1,2,10,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.361,37.42,9,123.0,BC,CTL,D,2.6428120218579236,-1.4628120218579235
2023-wimbledon-1316,Stan Wawrinka,Novak Djokovic,00:15:40,1,5,25,0,0,2,2,0,15,2,1,2,10,15,0,0,0,0,0,1,F,0,0,0,0,0,1,0,1,0,0,0,0,0,0,26.3,25.855,5,120.0,C,CTL,D,0.1914726775956282,1.1585273224043717
2023-wimbledon-1316,Stan Wawrinka,Novak Djokovic,00:16:31,1,5,26,0,0,2,2,0,30,2,1,2,10,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.191,6.889,1,125.0,C,NCTL,D,0.5155256830601088,1.4644743169398908
