match_id,player1,player2,elapsed_time,set_no,game_no,point_no,p1_sets,p2_sets,p1_games,p2_games,p1_score,p2_score,server,serve_no,point_victor,p1_points_won,p2_points_won,game_victor,set_victor,p1_ace,p2_ace,p1_winner,p2_winner,winner_shot_type,p1_double_fault,p2_double_fault,p1_unf_err,p2_unf_err,p1_net_pt,p2_net_pt,p1_net_pt_won,p2_net_pt_won,p1_break_pt,p2_break_pt,p1_break_pt_won,p2_break_pt_won,p1_break_pt_missed,p2_break_pt_missed,p1_distance_run,p2_distance_run,rally_count,speed_mph,serve_width,serve_depth,return_depth,comprehensive_momentum_1,comprehensive_momentum_2
2023-wimbledon-1309,Jannik Sinner,Quentin Halys,00:00:00,1,1,1,0,0,0,0,0,0,2,2,1,1,0,0,0,0,0,1,0,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.36,17.9,8,104.0,B,NCTL,ND,0.0,0.0
2023-wimbledon-1309,Jannik Sinner,Quentin Halys,00:00:41,1,1,2,0,0,0,0,15,0,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.846,12.162,1,110.0,B,CTL,ND,1.197256830601093,-1.3672568306010928
2023-wimbledon-1309,Jannik Sinner,Quentin Halys,00:01:15,1,1,3,0,0,0,0,15,15,2,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.738,3.814,1,111.0,W,NCTL,ND,0.21523060109289618,-0.12523060109289613
2023-wimbledon-1309,Jannik Sinner,Quentin Halys,00:01:36,1,1,4,0,0,0,0,15,30,2,2,1,2,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,9.868,7.26,0,,BW,CTL,ND,-0.8199890710382514,1.1399890710382514
2023-wimbledon-1309,Jannik Sinner,Quentin Halys,00:02:06,1,1,5,0,0,0,0,30,30,2,1,2,2,3,0,0,0,0,0,1,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.474,15.725,5,108.0,W,CTL,ND,0.21001092896174864,-0.06001092896174853
2023-wimbledon-1309,Jannik Sinner,Quentin Halys,00:02:38,1,1,6,0,0,0,0,30,40,2,2,2,2,4,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,14.644,17.28,5,103.0,W,NCTL,ND,-2.0943469945355195,2.644346994535519
2023-wimbledon-1309,Jannik Sinner,Quentin Halys,00:03:55,1,2,7,0,0,0,1,0,0,1,2,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.14,4.047,1,105.0,B,CTL,ND,-2.1695448087431695,2.749544808743169
2023-wimbledon-1309,Jannik Sinner,Quentin Halys,00:04:29,1,2,8,0,0,0,1,15,0,1,2,2,3,5,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1.056,1.343,0,,B,CTL,,0.0696021857923498,0.6803978142076502
2023-wimbledon-1309,Jannik Sinner,Quentin Halys,00:05:00,1,2,9,0,0,0,1,15,15,1,1,1,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.784,4.622,1,115.0,W,NCTL,D,-2.1603978142076503,3.11039781420765
2023-wimbledon-1309,Jannik Sinner,Quentin Halys,00:05:29,1,2,10,0,0,0,1,30,15,1,2,1,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.026,6.339,1,99.0,B,NCTL,ND,0.18129672131147534,0.9687032786885248
